	descripteur1	descripteur2	descripteur3	descripteur4	descripteur8	descripteur9	descripteur10	descripteur11	descripteur12	descripteur13	descripteur15	descripteur17	descripteur18	descripteur19	descripteur20	descripteur22	descripteur23	descripteur25	descripteur27	descripteur28	descripteur30	descripteur31	descripteur32	descripteur34	descripteur36	descripteur37	descripteur41	descripteur42	descripteur43	descripteur44	descripteur46	descripteur47	descripteur49	descripteur50	descripteur52	descripteur53	descripteur54	descripteur56	descripteur57	descripteur58	descripteur59	descripteur60	descripteur61	descripteur65	descripteur66	descripteur67	descripteur69	descripteur71	descripteur72	descripteur73
molecule1	-70.963996	131.470406	-416.0833635	-2.38948522	0.75837416	-0.03217373	-0.03217373	494.4391793	871.510753	2	-2.153	25.606998	1.152627	2.250823	36	1.813699	1.203026	3.787694	2.322462	1.553459	1.5	0.451545	86.43856	146.258469	0.247685	98.28833124	119.7640873	36.09959628	20.79188201	25.33637619	0.71925134	0.6969697	6.65351352	4.34472287	1.69808643	102.6873478	108.993117	-229.583102	576.769262	35.315759	1.267947	0.128976	-0.17757	29.844227	-62.86388	-13.313526	0.239556	1.152694	171.903783	101.913755
molecule4	-143.437107	218.238367	-613.0299063	-4.01262109	1.19034332	-0.02132356	-0.02132356	786.0377958	1450.996	0	1.0398	43.791416	6.136364	3.48172	46	6.694215	6.48	5.701907	3.718744	1.83743	2.584963	0.678939	110.039101	446.518158	0.595236	164.2921919	547.7511133	56.1500361	22.57745512	48.30247198	0.66217733	0.69264787	6.53343397	5.21866205	0.72034198	170.7157507	107.513725	-325.938609	1234.362	45.641644	2.231093	0.112096	-0.104942	43.77586	-132.710896	-17.397596	0.189669	2.560608	92.297574	314.86774
molecule12	-55.631144	134.277457	-382.7334123	-2.54131584	1.4149062	-0.02051064	-0.02051064	509.3145577	898.5004162	2	1.4778	29.446199	1.281595	2.955256	36	1.94179	1.309285	3.787694	2.268581	1.516398	1.5	0.433597	86.43856	146.258469	0	100.9388599	133.8847307	39.95295758	16.64874444	23.38123615	0.73039216	0.75845411	6.70409093	3.40005145	1.72509174	102.9915362	112.304097	-198.811943	482.700955	34.400679	1.04116	0.126164	-0.171287	30.62153	-54.209295	-12.734646	0.385415	11.562803	129.81613	142.85006
molecule19	-170.759665	178.436498	-646.619487	-3.35152266	1.46893931	-0.03208245	-0.03208245	654.7227153	1219.642	4	0.8918	37.898701	2.203578	3.163494	58	2.99698	1.679316	5.519745	3.003252	2.168257	2.584963	0.646241	172.97374	374.052612	0	137.5142701	261.0597748	55.03639611	21.8394709	27.31031544	0.75710594	0.77148847	8.48392996	3.40007411	0.83615114	140.9171392	168.058852	-565.383588	1119.921	56.524493	1.665785	0.169795	-0.261008	55.946557	-188.215407	-28.925345	0.201266	4.65802	291.173129	41.725475
molecule24	-131.574221	167.521379	-571.3695805	-3.17966316	3.18642324	-0.03863783	-0.03863783	624.3383469	1151.739	3	1.1762	36.204605	1.998416	3.066851	52	2.792376	1.842536	5.092225	2.856995	2.043238	2.413088	0.617649	147.206711	302.144958	0	128.8608428	207.2389911	50.52411244	23.26807071	25.57484435	0.71162791	0.74111111	8.42506849	3.88091351	4.02064043	132.5461681	174.587217	-453.123663	841.651793	43.243543	1.198103	0.13335	-0.24631	56.616184	-146.941644	-25.902343	0.255375	7.716207	237.685625	86.60034
molecule25	-135.433565	165.307315	-571.3630644	-3.1731471	2.89301037	-0.03181072	-0.03181072	609.4760407	1142.403	3	1.1762	36.204605	1.998416	3.189852	52	2.792376	1.429259	5.125897	2.868962	1.976417	2.663533	0.681753	147.206711	288.568665	0	128.8398678	125.3011905	47.95798863	26.23842448	28.53244476	0.61001789	0.63589744	8.5008739	5.0597797	6.97523141	133.0157302	153.103519	-411.925017	834.528471	39.214145	1.362464	0.126425	-0.222339	47.489034	-127.769245	-21.391071	0.250177	4.503316	195.675717	114.500262
molecule30	-87.724521	176.174153	-535.4007416	-3.45193071	1.50408865	-0.02328138	-0.02328138	656.8515903	1215.064	1	1.4923	39.279613	2.355429	2.91361	50	3.274762	1.634581	5.253219	3.117454	2.008731	3.095795	0.792394	134.605942	310.151489	0	137.6237248	217.3208033	52.65814175	22.14683172	30.46106968	0.64069264	0.69125214	8.22247376	4.20396773	3.28308082	142.2933775	119.584275	-275.115583	776.6355	40.107732	1.485551	0.118803	-0.113233	40.371472	-92.878608	-12.905528	0.282578	5.510449	100.153353	237.445144
molecule33	-72.110975	162.307723	-588.4132191	-3.36461087	3.93195754	-0.03233603	-0.03233603	620.1842847	1164.443	1	1.1387	39.54771	1.412081	2.426409	62	2.422268	1.114765	5.770857	3.393847	2.34756	2.918296	0.699844	186.117294	362.888794	0	130.3808761	129.8317315	50.25700704	20.78031978	25.99519612	0.76151762	0.7845805	8.02571068	3.40007716	7.97385697	133.873261	168.102663	-387.644741	727.756539	32.511609	1.077714	0.10302	-0.180042	53.050882	-122.335333	-17.931263	0.225108	3.907359	155.088145	160.498061
molecule36	-49.269153	160.618753	-476.23384	-3.10979197	2.8285765	-0.02893985	-0.02893985	601.6482684	1104.528	3	0.9618	37.516808	1.686396	2.989935	46	2.492602	1.561388	4.698378	2.787773	1.930615	2.921928	0.767443	122.211433	247.105881	0	123.6552741	237.4403675	48.80793902	21.20969569	26.75033907	0.72604588	0.74013158	7.75486032	3.76700668	6.19234986	126.879908	136.398302	-286.013599	651.493798	36.630194	1.176367	0.117901	-0.169896	42.376971	-88.86027	-16.399279	0.308837	4.390635	173.483508	137.201966
molecule47	-80.505551	292.360365	-842.8340273	-5.77116697	2.19017335	-0.02294425	-0.02294425	1038.258	2112.262	0	2.988	67.438416	5.700844	2.789208	80	7.317814	4.054028	8.701907	5.35419	3.319857	3.169925	0.682606	240.214996	1052.628	0.184272	230.0901868	516.9939787	83.25516105	40.90738353	45.65175267	0.62903226	0.70011947	12.30505934	5.28500098	3.63935419	243.4918496	179.975166	-619.726488	1681.388	45.422707	2.17431	0.093027	-0.114711	87.877366	-302.596921	-27.348456	0.168816	0.868222	120.559719	367.715232
