	reponse	descripteur1	descripteur2	descripteur3	descripteur4	descripteur8	descripteur9	descripteur10	descripteur11	descripteur12	descripteur13	descripteur15	descripteur17	descripteur18	descripteur19	descripteur20	descripteur22	descripteur23	descripteur25	descripteur27	descripteur28	descripteur30	descripteur31	descripteur32	descripteur34	descripteur36	descripteur37	descripteur41	descripteur42	descripteur43	descripteur44	descripteur46	descripteur47	descripteur49	descripteur50	descripteur52	descripteur53	descripteur54	descripteur56	descripteur57	descripteur58	descripteur59	descripteur60	descripteur61	descripteur65	descripteur66	descripteur67	descripteur69	descripteur71	descripteur72	descripteur73
mol_nouv_1	344.5690018	-90.988689	158.582575	-707.1099196	-2.4800621	1.62776543	-0.02211505	-0.02211505	568.8089101	1020.145	2	-0.4307	31.7715	6.511843	2.271335	22	6.27	6.27	3.414214	3.364506	2.284331	1.556657	0.602197	33.21928	129.720688	1.899259	115.3097633	187.8608492	40.02715397	18.55553736	34.31689594	0.61538462	0.69701727	5.9206677	5.09279523	5.56961617	121.0681478	88.873431	-157.492607	544.382097	39.78922	1.259473	0.129529	-0.146272	27.300471	-48.379165	-13.802469	0.365781	11.522447	132.811849	174.371869
mol_nouv_2	346.9145454	-94.752529	136.536205	-667.8113848	-2.019453	0.91732248	-0.02078027	-0.02078027	500.0702267	899.1470631	3	-0.4943	26.643097	3.615442	2.581911	20	3.459753	3.27	2.80806	2.339607	1.38412	1.918296	0.826165	33.21928	78.168961	0.138889	97.52098795	124.9372064	32.80780901	21.61945377	28.43732254	0.66905615	0.67592593	6.06298185	5.32961552	2.19518006	103.7894588	111.153065	-209.490182	505.696677	35.637645	1.103977	0.132823	-0.207352	29.823308	-56.207989	-14.92716	0.365257	9.862244	186.997321	81.311143
mol_nouv_3	349.5407688	-42.746612	84.638385	-225.3263983	-1.23096139	2.27367162	-0.02818317	-0.02818317	334.332495	503.9642445	4	-1.3039	13.142601	0.580857	2.559594	12	0.710529	0	1.732051	0.781474	0.402369	1.5	0.75	15.509775	24.98045	0	55.1587455	21.6794043	23.40986877	13.66899475	16.04883794	0.70114943	0.70588235	5.73385974	3.4000001	2.88152128	57.82653892	74.461952	-119.839065	326.819978	36.622174	1.019302	0.18035	-0.176939	15.120353	-24.334696	-7.295879	0.368895	4.760362	203.061463	0
mol_nouv_4	349.5547124	-117.808334	96.383114	-304.3724753	-1.46445314	2.65306651	-0.03174908	-0.03174908	369.65137	588.0261576	2	-0.7235	14.3459	1.715331	2.59796	16	1.868552	3.590001	2.270056	1.097512	0.551852	2.321928	1	24	48.486763	-0.777778	65.36402888	55.38367725	23.75528438	18.28271704	17.66010821	0.68550725	0.64796634	5.89549514	4.52385215	4.27726826	68.24501096	113.574922	-184.843186	355.004749	26.833151	0.780096	0.123015	-0.270158	24.77397	-40.319637	-12.854152	0.38808	13.222843	167.640853	50.488025
mol_nouv_5	348.7286529	-80.676969	107.775799	-627.341416	-1.38296289	1.90654448	-0.02353334	-0.02353334	422.6871401	716.208028	2	-0.1369	20.472898	2.222331	2.610776	16	2.231256	3.98	2.270056	1.729968	0.86808	2.321928	1	24	48.486763	-0.083333	75.38368053	94.13838088	25.92887227	20.03380727	20.93257221	0.67692308	0.62937063	5.86074211	5.04976956	3.04494346	78.84840072	136.673071	-201.100757	343.373238	23.168303	0.609657	0.099279	-0.241619	31.894709	-46.929875	-13.158408	0.410493	13.458734	187.16939	46.195594
mol_nouv_6	346.2586871	-190.181826	154.328182	-532.2850026	-2.54221892	2.50476772	-0.03599363	-0.03599363	564.4524189	1004.88	2	-0.9034	25.181698	3.775754	2.824536	34	4.134037	7.220001	4.125897	2.139919	1.280276	2.281036	0.68666	75.058647	221.70105	-1.126389	110.6093883	184.1327079	39.86961619	21.89061914	30.88131518	0.71843434	0.68836806	6.4190564	4.74678727	4.85891037	116.0944275	158.576306	-425.555376	810.827127	36.602214	1.275114	0.12114	-0.26125	47.913343	-128.580248	-23.850233	0.253503	4.019953	223.99221	78.154714
mol_nouv_7	341.7576246	-163.43148	121.670183	-417.7590724	-1.9312763	1.99449853	-0.03157421	-0.03157421	456.3329435	774.5517246	2	-0.3085	18.987799	2.178375	3.06741	26	2.435883	5.260001	3.125897	1.562569	0.964254	1.950212	0.650071	53.302967	111.146782	-0.805556	84.9095888	98.60351588	30.33934159	20.26956803	23.9296194	0.7	0.62564103	5.8104185	4.98355252	3.70197782	88.38545226	149.610421	-324.011289	554.8412	31.391518	0.900994	0.12253	-0.279066	38.32942	-83.010026	-18.31671	0.294408	8.201626	211.143558	45.051298
mol_nouv_8	345.2667532	-204.177376	153.79419	-532.3089471	-2.56616337	2.51699735	-0.03845745	-0.03845745	551.8960472	993.0278607	3	-0.8054	24.875196	3.001135	3.379156	36	3.285914	3.774017	4.036581	2.164138	1.451898	2.725481	0.820451	86.43856	203.540421	-0.75463	110.7535876	181.9336529	38.81501725	23.22583847	30.85608676	0.7202381	0.6257764	5.91869904	5.44840089	2.39081632	115.0162509	158.579885	-454.474093	850.572141	41.313948	1.334561	0.139198	-0.270266	47.066547	-134.888016	-23.80782	0.222024	3.378048	245.257886	51.542346
mol_nouv_9	350.4326222	-16.036583	189.664696	-347.7213381	-3.52403171	1.22107078	-0.01579607	-0.01579607	641.5643717	1197.227	4	-0.1074	36.579803	6.8508	2.492332	26	6.92	7.123252	3.914214	3.316497	1.991564	1.5	0.534311	43.01955	180.948425	6.441014	137.4821538	282.3410766	43.26310874	21.74235523	40.72582064	0.71410256	0.73286713	5.94936196	5.11770917	1.87992988	145.0357065	41.953555	-113.811603	915.284648	51.757287	2.375399	0.153398	-0.071914	14.155369	-38.400684	-8.186923	0.240158	4.884999	131.676143	205.729561
mol_nouv_10	355.0007406	-14.130503	276.859586	-504.8940909	-5.34902219	0.58355235	-0.00755094	-0.00755094	925.1509162	1818.259	0	1.432002	56.718437	7.512569	2.819618	46	7.562989	11.032108	5.625897	4.92131	4.020765	1.918296	0.554512	110.039101	464.702606	7.933359	205.7581104	566.7580774	64.32179582	29.13190025	58.67699357	0.67290553	0.62815126	6.46612092	6.6953132	1.62956945	219.1706803	36.602028	-111.233562	1390.673	52.255189	2.795924	0.114192	-0.02182	16.749403	-50.901434	-4.569151	0.112274	0.540239	36.118975	421.489622
mol_nouv_11	351.7388061	-40.219906	242.74838	-501.5221565	-4.57292195	0.81802504	-0.01216811	-0.01216811	815.4791188	1599.22	0	-0.028799	49.050735	6.509705	2.719805	42	6.581503	9.88	5.125897	3.99866	3.218924	1.93626	0.582872	98.107498	373.040833	3.683073	180.8768756	411.3912305	56.08448918	27.40060868	50.71880588	0.76400862	0.73025584	6.38135193	5.62016745	1.99316979	191.9388428	56.74279	-144.416075	1042.889	44.785015	2.192662	0.109295	-0.051449	23.251132	-59.176455	-8.638663	0.233468	3.702253	54.81058	354.953048
mol_nouv_12	341.4047784	-121.912148	148.737718	-384.1330173	-2.55590034	1.02416481	-0.02588743	-0.02588743	524.9299588	913.3803623	2	-0.8732	25.597099	5.779201	2.250288	22	5.880001	5.880001	3.414214	2.209806	1.059586	1.556657	0.602197	33.21928	129.720688	0.695556	104.8896313	170.6726824	34.51262645	20.63966435	34.38698182	0.66009852	0.6886646	5.72698791	5.45968521	4.468625	109.1147984	66.216323	-114.574103	508.450323	36.084536	1.340455	0.122804	-0.137844	19.456859	-33.666203	-11.901553	0.367797	10.246102	119.904005	173.933804
mol_nouv_13	347.7727653	-67.755921	213.75959	-498.1926713	-3.83927087	1.03814193	-0.0241018	-0.0241018	751.5823224	1353.958	4	-1.733	39.955612	8.698561	2.457587	34	8.84	8.986199	4.914213	3.471197	1.802095	1.370951	0.432487	64	313.056122	3.555702	154.5174179	603.7721176	50.82469043	21.86477612	50.73402108	0.62723214	0.69967532	6.33216256	5.50509317	2.32763633	162.0425501	54.341979	-146.152753	1062.862	55.133543	2.319745	0.139516	-0.079331	21.474696	-57.756196	-12.388634	0.249414	4.09136	156.976795	238.200133
mol_nouv_14	340.7121931	-124.418625	172.89546	-514.5773229	-3.22174108	1.37296934	-0.0293237	-0.0293237	612.8242083	1147.779	1	-1.2714	33.470402	2.010758	2.397455	46	2.788888	1.348629	4.753219	3.195024	2.162722	2.721928	0.759263	122.211433	247.105881	0.61787	128.7605643	108.4620587	42.82915883	27.08619798	30.35501505	0.68244576	0.63338789	7.66713389	5.17662687	3.36096261	135.7308289	123.015048	-315.103046	825.021809	39.38095	1.583179	0.122269	-0.187659	39.621354	-101.490098	-19.467553	0.260433	8.594565	170.051837	152.033585
mol_nouv_15	345.526336	-21.343041	103.083209	-247.3194147	-1.63553494	1.72627176	-0.02064609	-0.02064609	403.9310562	651.1743904	1	-0.2047	18.024599	3.0705	2.380936	14	3.45	3.45	2.414214	1.393388	0.631721	2.321928	0.898244	15.509775	54.97699	0.232639	71.06104013	180.8468648	24.13662313	16.38893901	23.82418794	0.79272727	0.71363636	4.85552929	4.25785102	1.26899914	73.94458626	96.170403	-113.17333	274.319982	27.309616	0.6913	0.117155	-0.157123	22.417967	-26.381463	-8.537873	0.562033	18.908965	118.900005	114.20671
mol_nouv_16	352.4884023	9.54508	174.511011	-404.6090688	-3.18761989	7.13674961	-0.10350629	-0.10350629	588.8150293	1173.41	1	-0.7611	29.079098	2.258446	2.957053	28	2.284555	5.92	3.06066	2.474096	2.737538	2.128085	0.823256	64	108.939972	1.114583	134.9163067	117.8620245	37.11801979	30.44942393	33.27247673	0.70766488	0.65454545	6.70661088	6.4157632	7.07119243	142.0650634	42.870595	-81.162611	600.558994	37.061371	1.792679	0.127916	-0.063407	12.420983	-23.515405	-5.322683	0.344496	7.529932	69.399522	220.332472
mol_nouv_17	349.4931774	-86.537311	153.231148	-364.2496948	-2.66040016	0.60502748	-0.02159243	-0.02159243	547.9468303	948.2373446	3	-1.0907	27.277998	5.779201	2.303301	22	5.880001	5.880001	3.414214	2.339562	1.197214	1.556657	0.602197	33.21928	129.720688	1.417778	108.5094999	283.1941431	38.05836885	19.41487436	35.17102982	0.64986737	0.68153846	5.75079771	5.19495463	1.643144	113.6338425	69.806895	-150.741009	651.138273	46.498358	1.659432	0.154199	-0.141949	21.050087	-45.455559	-12.907517	0.320459	9.682749	130.368649	171.178747
mol_nouv_18	344.1213719	-103.253717	137.875771	-308.8999917	-2.40092172	0.00035497	-0.01837409	-0.01837409	493.0444098	843.9056075	2	-0.205	24.062796	4.8544	2.244066	18	4.92	5.262466	2.914214	2.132456	1.15432	1.584963	0.682606	24	87.878471	1.8275	96.39249458	200.0434742	29.96411949	16.52587115	30.95322082	0.78545455	0.7826087	4.86653963	4.32337633	0.00160448	101.0563861	72.012952	-145.048487	551.229221	42.330206	1.484136	0.15467	-0.16365	19.708617	-39.697095	-12.257676	0.332092	10.888213	116.962462	156.719093
mol_nouv_19	346.6811855	-72.135162	127.751394	-307.6790592	-2.17520287	0.66797959	-0.01909324	-0.01909324	479.4733156	794.7030939	2	-0.176	24.872198	4.395932	2.626601	18	4.659999	5.03594	2.914214	1.782286	0.836553	1.584963	0.613147	24	87.878471	0.028889	90.15308525	189.0302584	33.37236782	16.80335282	29.87663239	0.6712963	0.6505102	5.31130205	4.71281829	2.73260774	93.01250975	83.317373	-128.358745	416.015885	37.702141	1.065259	0.139619	-0.159835	22.498605	-34.661351	-11.655022	0.437038	13.39249	119.703385	150.331592
